Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
lovelouisa.org,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1
chat-whattsapp.com,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
irecommend.ru,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
maybank2u.com.my,0,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
testing-adjusting-balancing.com,0,0,1,2,0,0,0,1,1,1,1,1,0,0,1,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
pullo.eu,0,0,1,9,0,0,0,0,0,1,1,1,0,0,1,0,1
globalminiimplantday.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1
yourfitnesscorner.com,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,1
mixi.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
livenmitac-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,0,0,0,1,0,1
157.240.2.20,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
miketoddington.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
ustore.bg,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
cheaphostingsa.co.za,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
cooperativabetania.org,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
honda4fun.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
alliedstemcells.com,0,0,1,12,0,0,0,0,0,1,0,1,1,0,1,0,1
techcrunch.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
quizlet.com,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
avxhome.se,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,1,0
elpla.pl,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,1
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
caixa.gov.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0
zozo.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
storage.googleapis.com,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
thatvitaminhub.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
rockysite.net,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
himado.in,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
qz.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
nordichairistanbul.com,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,1
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
secure.runescape.com-en.ru,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1
recompensenumeriquebmo.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
ducks.pt,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
fortune.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
malerikonservator.se,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
h.23yue.cn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
chad-moore.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
turkmcse.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
rockysite.net,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
