Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
k-astal.com,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,1
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
mirtesen.ru,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
southyang-jp.top,0,1,1,4,0,0,0,1,0,1,0,1,1,0,1,0,1
techcrunch.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
weberspro.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
rohtolab.com,0,0,1,9,0,0,0,0,0,0,0,1,0,0,1,0,1
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,0
privatbank.ua,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
mycarauctionad.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
three.co.uk.session-id-jnwij293i8977dsn55688hga8669nd194jaj0ap889.dashbuy.rw,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1
esapcepro-org.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
persianblog.ir,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0
distractify.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
secure.runescape.com-en.ru,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1
sitioprocrediteng.azurewebsites.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
donslan.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
logex.com.tr,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,1,1
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
greenowladvisers.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
subscriber.dsjfhus.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
elitedaily.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
ripe6.net,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
153284594738391.statictab.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
livestudentccc-my.sharepoint.com,0,0,1,5,0,0,1,1,0,0,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
correios.com.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
pikabu.ru,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
slempresas.com.br,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
qz.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
paypal.co.uk.userk5hjhbm77rr.settingsppup.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0
privatbank.ua,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
firstcbuk.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
meduchet.com,0,0,1,7,0,0,1,0,0,0,0,0,1,0,1,0,1
clients.furleypage.co.uk,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
live-microsoft.dns.army,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0,1
bongda88.info,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
krovstvo-tesarstvo.si,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
pages-user-blocked.cf,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
businesstalkdailyuk.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
onedio.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
storage.googleapis.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1
yunali.gtacomputer.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
muggetlogin.oa.r.appspot.com,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1
zozo.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
web-rechungbetrag-domain.de,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,1
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0
kishblackdolphin.ir,0,0,1,5,0,0,0,0,1,0,1,1,0,0,1,0,1
ahrefs.com,0,0,1,8,0,0,0,0,0,1,0,1,0,0,1,0,0
christiantidings.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
luvoxcr.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
fazenda.gov.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
elitedaily.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
fanpage.gr,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
209.99.16.16,1,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
tk5.ru,0,0,1,5,1,0,0,0,0,0,0,1,0,0,1,0,1
perezhilton.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
spatialsys.com.ru,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
utffunds.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
1drv.ms,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
ebay.de.phodo.vn,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1
